term_id	english_term	abbreviation	preferred_zh	accepted_aliases	avoid_or_restrict	first_mention	source_ids	economic_management_note
data_envelopment_analysis	data envelopment analysis	DEA	数据包络分析	DEA;数据包络分析法	数据包络法（仅作非正式简称）	数据包络分析（data envelopment analysis，DEA）	S01;S03;S04	比较多投入、多产出组织相对绩效的非参数方法。
decision_making_unit	decision-making unit	DMU	决策单元	决策单位	决策者	决策单元（decision-making unit，DMU）	S01;S06	DMU 可以是组织、地区、网点或单位—时期观测；案例中优先使用具体实体名。
input	input		投入	投入要素	输入（经济学叙述中慎用；代码角色除外）	投入（input）	S01;S03;S06	组织为生产产品或服务而承诺的资源。
desirable_output	desirable output		合意产出	期望产出;好产出（通俗括注）	将合意与非期望混配	合意产出（desirable output）	S07;S16	更多通常被组织或社会评价为更好；必须与非合意成对使用。
undesirable_output	undesirable output		非合意产出	非期望产出;坏产出（通俗括注）	负产出;负面产出;将非合意与期望混配	非合意产出（undesirable output，中文文献亦称“非期望产出”）	S07;S08;S16	生产伴随产生而通常希望减少的负担；不是统计意义上的意外值。
efficiency	efficiency		效率	相对效率（明确参照时）	效能（除非原概念为 effectiveness）	效率（efficiency）	S01;S03;S06	在声明的技术、比较对象和目标下衡量资源使用与产出责任的相对表现。
productivity	productivity		生产率		生产力	生产率（productivity）	S02;S03;S19	产出数量相对于投入数量的关系；不要与生产力或效率自动等同。
total_factor_productivity	total factor productivity	TFP	全要素生产率	总要素生产率	把 TFP 无条件解释为技术进步	全要素生产率（total factor productivity，TFP）	S02;S19	综合多个投入与产出的生产率账户。
performance	performance		绩效	表现（一般叙述）	一律译为效率	绩效（performance）	S05;S06	上位概念；可包含效率、生产率、盈利能力、质量与目标实现程度。
profitability	profitability		盈利能力	获利能力	生产率;利润效率（未定义模型时）	盈利能力（profitability）	S03	价值收入相对于价值成本的经营结果，不是纯数量生产率。
technical_efficiency	technical efficiency	TE	技术效率		技术有效性（除正式引文）	技术效率（technical efficiency，TE）	S03;S06;S19	相对于声明生产技术的经营表现；应注明 CRS/VRS 等技术假设。
pure_technical_efficiency	pure technical efficiency	PTE	纯技术效率	VRS 技术效率（在匹配语境中）	综合效率	纯技术效率（pure technical efficiency，PTE）	S06	只在匹配的经典规模分解语境中使用，不能给所有 VRS 得分贴此标签。
allocative_efficiency	allocative efficiency	AE	配置效率	分配效率;分配有效（正式旧译）	把任何宏观资源配置结果称为 Farrell AE	配置效率（allocative efficiency，AE）	S02;S03;S06	需要观测价格和成本、收益或利润目标，用于区分技术改进与要素组合改进。
economic_efficiency	economic efficiency	EE	经济效率		综合效率（含义不清）	经济效率（economic efficiency，EE）	S03;S06	技术效率与价格条件下配置表现共同形成的价值账户。
scale_efficiency	scale efficiency	SE	规模效率		规模报酬;规模弹性	规模效率（scale efficiency，SE）	S03;S06	匹配技术与导向下 CRS/VRS 技术效率之比；不等同于局部规模报酬状态。
input_orientation	input orientation		投入导向	投入导向型;输入导向（正式译法别名）	投入方向;把经济投入译成数据输入	投入导向（input orientation）	S03;S04;S06	在不降低既有产出责任的条件下考察可支持的投入压缩。
output_orientation	output orientation		产出导向	产出导向型;输出导向（正式译法别名）	产出方向;把经济产出译成程序输出	产出导向（output orientation）	S03;S04;S06	在不增加既有投入承诺的条件下考察可支持的产出扩张。
non_orientation	non-oriented		非导向	非角度	无方向;方向不明确	非导向（non-oriented）	S10;S17	不预先只选择投入或产出一侧；不表示模型没有改进规则。
returns_to_scale	returns to scale	RTS	规模报酬	规模收益	规模回报;把收益理解为营业收入	规模报酬（returns to scale，RTS）	S01;S02;S06;S07	全部投入按比例变化时可支持产出的局部或技术集合反应。
constant_returns_to_scale	constant returns to scale	CRS	规模报酬不变	规模收益不变	固定规模;固定规模收益	规模报酬不变（constant returns to scale，CRS）	S02;S06;S07	活动同比例复制时产出责任同比例变化的技术假设。
variable_returns_to_scale	variable returns to scale	VRS	规模报酬可变	规模收益可变	可变规模	规模报酬可变（variable returns to scale，VRS）	S02;S06;S07	允许不同经营规模具有不同平均生产率的凸技术假设。
increasing_returns_to_scale	increasing returns to scale	IRS	规模报酬递增	规模收益递增	规模效率递增	规模报酬递增（increasing returns to scale，IRS）	S02;S06	局部状态；不自动构成扩大规模的管理处方。
decreasing_returns_to_scale	decreasing returns to scale	DRS	规模报酬递减	规模收益递减	规模效率递减	规模报酬递减（decreasing returns to scale，DRS）	S02;S06	局部状态；不自动构成缩小规模的管理处方。
non_increasing_returns_to_scale	non-increasing returns to scale	NIRS	规模报酬非递增	规模收益非递增	规模报酬递减（两者不是同一约束）	规模报酬非递增（non-increasing returns to scale，NIRS）	S06	集合级限制；不要与评价点的 DRS 状态互换。
non_decreasing_returns_to_scale	non-decreasing returns to scale	NDRS	规模报酬非递减	规模收益非递减	规模报酬递增（两者不是同一约束）	规模报酬非递减（non-decreasing returns to scale，NDRS）	S06	集合级限制；不要与评价点的 IRS 状态互换。
production_technology	production technology		生产技术	生产机会集合（解释性表述）	工艺技术;设备技术（除非语境确指）	生产技术（production technology）	S01;S03	在既定资源、知识与制度条件下可实现的投入—产出组合集合。
production_possibility_set	production possibility set	PPS	生产可能集	生产可能性集	生产概率集	生产可能集（production possibility set，PPS）	S01;S07	模型认为可行的生产方案集合。
production_frontier	production frontier		生产前沿	生产前沿面	几何边界（作为唯一解释）	生产前沿（production frontier）	S01;S07	声明技术下可支持的最佳实践边界。
best_practice_frontier	best-practice frontier		最佳实践前沿	标杆前沿	把最佳实践理解为可直接照搬的管理做法	最佳实践前沿（best-practice frontier）	S05;S07	观测与技术假设支持的比较边界，不保证实践可移植。
reference_technology	reference technology		参照技术	参考技术	基准技术（未定义时）	参照技术（reference technology）	S02;S03	用于评价某个活动或时期的生产机会集合。
reference_population	reference population		参照总体	比较总体	样本（当资格筛选改变比较总体时）	参照总体（reference population）	S06	经研究设计规则允许进入技术构造的组织或观测集合。
eligible_comparator	eligible comparator		合格比较对象	合格参照对象	标杆;同伴（尚未拟合前）	合格比较对象（eligible comparator）	S05;S06	通过制度、职责和数据可比性规则后有资格参与技术构造的对象。
reference_set	reference set		参考集	参照集	标杆集合（未定义权重时）	参考集（reference set）	S18	拟合表示中具有非零强度的参照观测集合，须遵守方法的报告约定。
